"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit"
2016-03-26,"Dominican_Republic-La_Vega","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Maria_Trinidad_Sanchez","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Monte_Cristi","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Pedernales","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Peravia","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Puerto_Plata","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Hermanas_Mirabal","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Samana","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-San_Cristobal","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-San_Juan","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-San_Pedro_de_Macoris","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Sanchez_Ramirez","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Santiago","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Santiago-Rodriguez","municipality","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Valverde","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Monsenor_Nouel","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Monte_Plata","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Hato_Mayor","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-San_Jose_de_Ocoa","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Santo_Domingo","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Extranjera","province","gbs_confirmed_cumulative","DO0020",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic","country","gbs_reported","DO0010",NA,NA,2,"cases"
2016-03-26,"Dominican_Republic-Distrito_Nacional","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Azua","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Baoruco","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Barahona","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Dajabon","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Duarte","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Elias_Pina","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-El_Seibo","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Espaillat","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Independencia","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-La_Altagracia","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-La_Romana","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-La_Vega","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Maria_Trinidad_Sanchez","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Monte_Cristi","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Pedernales","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Peravia","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Puerto_Plata","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Hermanas_Mirabal","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Samana","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-San_Cristobal","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-San_Juan","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-San_Pedro_de_Macoris","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Sanchez_Ramirez","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Santiago","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Santiago-Rodriguez","municipality","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Valverde","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Monsenor_Nouel","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Monte_Plata","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Hato_Mayor","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-San_Jose_de_Ocoa","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Santo_Domingo","province","gbs_reported","DO0010",NA,NA,2,"cases"
2016-03-26,"Dominican_Republic-Extranjera","province","gbs_reported","DO0010",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic","country","gbs_reported_cumulative","DO0014",NA,NA,16,"cases"
2016-03-26,"Dominican_Republic-Distrito_Nacional","province","gbs_reported_cumulative","DO0014",NA,NA,8,"cases"
2016-03-26,"Dominican_Republic-Azua","province","gbs_reported_cumulative","DO0014",NA,NA,1,"cases"
2016-03-26,"Dominican_Republic-Baoruco","province","gbs_reported_cumulative","DO0014",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Barahona","province","gbs_reported_cumulative","DO0014",NA,NA,1,"cases"
2016-03-26,"Dominican_Republic-Dajabon","province","gbs_reported_cumulative","DO0014",NA,NA,0,"cases"
2016-03-26,"Dominican_Republic-Duarte","province","gbs_reported_cumulative","DO0014",NA,NA,0,"cases"
